anime_id,producer_id,producers
33,878," Audio Tanaka"
33,14,"Bandai Visual"
34,17,"TV Tokyo Music"
35,13,Movic
35,825," Fuji TV"
35,847," Pioneer LDC"
35,889," Cosmic Ray"
36,1103," TYO"
36,16,"Mainichi Broadcasting System"
36,844," Toho"
36,1160," TYO Animations"
37,828," Aniplex"
37,18,"Sony Pictures Entertainment"
38,9,"Production I.G"
39,12,Marvelous
39,838," Kodansha"
39,845," Starchild Records"
39,859," Asatsu DK"
40,846," Toshiba EMI"
40,19,Youmex
41,20,TBS
41,847," Pioneer LDC"
42,834," Kadokawa Shoten"
42,825," Fuji TV"
42,21,Lantis
43,22,"Kadokawa Shoten"
44,21,Lantis
44,848," King Records"
45,849," Hal Film Maker"
45,880," Genco"
45,14,"Bandai Visual"
45,850," Lantis"
46,868," Memory-Tech"
46,826," Studio Jack"
46,831," Pony Canyon"
46,833," TBS"
46,23,"Mellow Head"
47,23,"Mellow Head"
47,833," TBS"
48,850," Lantis"
48,897," Imagica"
48,862," TV Tokyo Music"
48,889," Cosmic Ray"
48,848," King Records"
48,5,Genco
49,10,GDH
49,838," Kodansha"
49,872," Sotsu Music Publishing"
50,823," Dentsu"
50,833," TBS"
50,10,GDH
50,872," Sotsu Music Publishing"
51,851," Imagine"
51,14,"Bandai Visual"
52,22,"Kadokawa Shoten"
53,24,"Tatsunoko Production"
53,897," Imagica"
53,910," Rakuonsha"
53,1125," Kadokawa Pictures Japan"
53,879," KlockWorx"
53,852," Happinet Pictures"
53,1141," Animation Do"
53,834," Kadokawa Shoten"
53,825," Fuji TV"
54,852," Happinet Pictures"
54,22,"Kadokawa Shoten"
55,15,Aniplex
55,853," Sogo Vision"
56,848," King Records"
56,17,"TV Tokyo Music"
57,25,"Starchild Records"
57,854," Omnibus Japan"
58,854," Omnibus Japan"
58,25,"Starchild Records"
59,26,Xebec
59,850," Lantis"
59,868," Memory-Tech"
60,855," Nagoya Broadcasting Network"
60,27,Sotsu
61,28,"Atelier Musa"
62,14,"Bandai Visual"
63,27,Sotsu
63,856," Atelier Musa"
64,14,"Bandai Visual"
65,27,Sotsu
65,855," Nagoya Broadcasting Network"
66,855," Nagoya Broadcasting Network"
66,27,Sotsu
67,27,Sotsu
67,857," Nozomi Entertainment"
67,856," Atelier Musa"
68,858," Shochiku"
68,856," Atelier Musa"
68,27,Sotsu
68,855," Nagoya Broadcasting Network"
69,830," Sotsu"
69,1440," Apollon"
69,29,"TV Asahi"
70,29,"TV Asahi"
71,14,"Bandai Visual"
71,830," Sotsu"
72,830," Sotsu"
72,29,"TV Asahi"
73,27,Sotsu
73,840," Sony Music Entertainment"
73,856," Atelier Musa"
73,859," Asatsu DK"
73,860," Mainichi Broadcasting System"
74,860," Mainichi Broadcasting System"
74,840," Sony Music Entertainment"
74,27,Sotsu
75,27,Sotsu
75,825," Fuji TV"
76,830," Sotsu"
76,29,"TV Asahi"
77,10,GDH
77,861," Victor Entertainment"
77,862," TV Tokyo Music"
78,862," TV Tokyo Music"
78,1441," Studio Zain"
78,14,"Bandai Visual"
79,14,"Bandai Visual"
79,850," Lantis"
79,862," TV Tokyo Music"
80,832," Rondo Robe"
80,22,"Kadokawa Shoten"
81,30,"Pony Canyon"
81,833," TBS"
81,915," Movic"
82,863," Toei Video"
82,1098," Sunny Side Up"
82,31,Animax
83,32,"Nihon Ad Systems"
83,864," Shueisha"
84,14,"Bandai Visual"
87,15,Aniplex
88,15,Aniplex
89,10,GDH
89,865," TV Asahi"
89,897," Imagica"
91,866," Studio Tron"
91,33,NHK
92,34,m.o.e.
93,25,"Starchild Records"
93,862," TV Tokyo Music"
94,17,"TV Tokyo Music"
95,35,"Pioneer LDC"
96,4,"TV Tokyo"
96,867," Geneon Universal Entertainment"
96,963," SoftX"
96,847," Pioneer LDC"
96,862," TV Tokyo Music"
96,856," Atelier Musa"
97,35,"Pioneer LDC"
98,35,"Pioneer LDC"
99,36,"Trinet Entertainment"
100,4,"TV Tokyo"
100,824," Nihon Ad Systems"
100,848," King Records"
101,823," Dentsu"
101,918," Square Enix"
101,860," Mainichi Broadcasting System"
101,15,Aniplex
102,32,"Nihon Ad Systems"
103,4,"TV Tokyo"
103,827," Shogakukan-Shueisha Productions"
103,841," Yomiko Advertising"
103,1440," Apollon"
105,21,Lantis
106,21,Lantis
107,37,"Media Factory"
109,4,"TV Tokyo"
109,823," Dentsu"
109,996," Group TAC"
112,838," Kodansha"
112,832," Rondo Robe"
112,910," Rakuonsha"
112,20,TBS
113,30,"Pony Canyon"
113,868," Memory-Tech"
113,826," Studio Jack"
114,825," Fuji TV"
114,12,Marvelous
115,4,"TV Tokyo"
115,823," Dentsu"
115,935," Dream Force"
116,8,"Fuji TV"
120,29,"TV Asahi"
120,869," GANSIS"
122,867," Geneon Universal Entertainment"
122,1442," Remic"
122,38,"Studio Fantasia"
122,1001," Front Line"
122,838," Kodansha"
122,832," Rondo Robe"
122,868," Memory-Tech"
122,1011," Toshiba Entertainment"
123,825," Fuji TV"
123,923," Fujipacific Music"
123,13,Movic
124,4,"TV Tokyo"
124,869," GANSIS"
125,833," TBS"
125,832," Rondo Robe"
125,915," Movic"
125,39,"Geneon Universal Entertainment"
126,21,Lantis
126,870," Media Factory"
126,893," Age"
128,865," TV Asahi"
128,915," Movic"
128,14,"Bandai Visual"
129,15,Aniplex
129,860," Mainichi Broadcasting System"
130,40,"Toei Video"
131,41,AIC
131,865," TV Asahi"
131,872," Sotsu Music Publishing"
132,42,"Sogo Vision"
133,4,"TV Tokyo"
133,824," Nihon Ad Systems"
133,862," TV Tokyo Music"
134,861," Victor Entertainment"
134,931," Marubeni"
134,22,"Kadokawa Shoten"
134,915," Movic"
134,835," Sega"
134,1446," Shelty"
135,962," chara-ani.com"
135,834," Kadokawa Shoten"
135,891," d-rights"
135,14,"Bandai Visual"
136,25,"Starchild Records"
137,43,"Rondo Robe"
137,862," TV Tokyo Music"
138,833," TBS"
138,890," KENMedia"
138,22,"Kadokawa Shoten"
139,3,"Victor Entertainment"
139,847," Pioneer LDC"
139,910," Rakuonsha"
140,865," TV Asahi"
140,897," Imagica"
140,10,GDH
141,44,Broccoli
142,45,"Avex Entertainment"
143,46,"Tokuma Shoten"
143,871," Nippon Television Network"
144,825," Fuji TV"
144,47,"Asatsu DK"
145,10,GDH
145,872," Sotsu Music Publishing"
146,873," A-Line"
146,22,"Kadokawa Shoten"
147,48,"Yomiko Advertising"
148,20,TBS
148,832," Rondo Robe"
148,915," Movic"
149,874," Animax"
149,29,"TV Asahi"
151,49,"Studio Izena"
151,875," MediaNet"
152,29,"TV Asahi"
153,17,"TV Tokyo Music"
154,50,Discovery
155,33,NHK
155,838," Kodansha"
156,826," Studio Jack"
156,51,"WAO World"
158,10,GDH
158,823," Dentsu"
158,870," Media Factory"
159,823," Dentsu"
159,870," Media Factory"
159,10,GDH
160,4,"TV Tokyo"
160,822," Bandai Visual"
161,12,Marvelous
162,52,"Happinet Pictures"
163,6,"OB Planning"
163,825," Fuji TV"
164,825," Fuji TV"
164,6,"OB Planning"
165,6,"OB Planning"
166,41,AIC
166,876," Green Bunny"
166,904," BEAM Entertainment"
167,877," TV Tokyo"
167,841," Yomiko Advertising"
167,9,"Production I.G"
168,25,"Starchild Records"
168,878," Audio Tanaka"
169,48,"Yomiko Advertising"
170,48,"Yomiko Advertising"
171,22,"Kadokawa Shoten"
171,1476," Sony PCL"
171,879," KlockWorx"
171,852," Happinet Pictures"
172,14,"Bandai Visual"
173,14,"Bandai Visual"
173,880," Genco"
174,880," Genco"
174,850," Lantis"
174,14,"Bandai Visual"
175,34,m.o.e.
176,29,"TV Asahi"
176,881," WAO World"
176,829," TAP"
177,53,Toho
179,54,Shueisha
180,14,"Bandai Visual"
180,859," Asatsu DK"
180,825," Fuji TV"
181,55,"Green Bunny"
183,3,"Victor Entertainment"
183,825," Fuji TV"
183,1156," Barnum Studio"
183,920," Tokuma Shoten"
183,1119," flying DOG"
184,22,"Kadokawa Shoten"
184,841," Yomiko Advertising"
184,931," Marubeni"
185,833," TBS"
185,931," Marubeni"
185,22,"Kadokawa Shoten"
186,15,Aniplex
186,839," SME Visual Works"
187,882," Studio Deen"
187,916," Broccoli"
187,840," Sony Music Entertainment"
187,15,Aniplex
188,56,"Shogakukan-Shueisha Productions"
188,883," Kitty Films"
188,825," Fuji TV"
188,888," Shogakukan"
189,57,"Pink Pineapple"
189,876," Green Bunny"
190,58,Soeishinsha
191,59,"NuTech Digital"
192,57,"Pink Pineapple"
194,39,"Geneon Universal Entertainment"
194,884," I-move"
195,885," Studio Tulip"
195,57,"Pink Pineapple"
196,25,"Starchild Records"
196,841," Yomiko Advertising"
196,878," Audio Tanaka"
197,845," Starchild Records"
197,834," Kadokawa Shoten"
197,863," Toei Video"
197,915," Movic"
197,835," Sega"
197,848," King Records"
197,878," Audio Tanaka"
197,4,"TV Tokyo"
198,50,Discovery
199,55,"Green Bunny"
200,60,"Studio Pierrot"
200,858," Shochiku"
200,868," Memory-Tech"
200,852," Happinet Pictures"
201,8,"Fuji TV"
202,8,"Fuji TV"
203,7,VAP
203,880," Genco"
204,869," GANSIS"
204,25,"Starchild Records"
205,15,Aniplex
205,886," SKY Perfect Well Think"
206,852," Happinet Pictures"
206,61,"Toshiba Entertainment"
207,7,VAP
207,871," Nippon Television Network"
208,862," TV Tokyo Music"
208,1443," Shounen Gahousha"
208,25,"Starchild Records"
209,33,NHK
209,954," YTV"
209,838," Kodansha"
209,853," Sogo Vision"
211,887," HoriPro"
211,4,"TV Tokyo"
212,62,"Yomiuri Telecasting"
212,874," Animax"
212,954," YTV"
212,894," TMS-Kyokuchi"
212,888," Shogakukan"
213,27,Sotsu
214,15,Aniplex
214,860," Mainichi Broadcasting System"
214,898," Bandai"
214,958," Ashi Production"
214,840," Sony Music Entertainment"
214,1095," Bandai Namco Games"
214,1003," Hakuhodo DY Media Partners"
214,1099," Bandai Channel"
214,1114," USEN"
214,822," Bandai Visual"
214,834," Kadokawa Shoten"
215,8,"Fuji TV"
216,10,GDH
216,865," TV Asahi"
216,870," Media Factory"
216,872," Sotsu Music Publishing"
217,1011," Toshiba Entertainment"
217,5,Genco
217,850," Lantis"
217,907," Kids Station"
218,834," Kadokawa Shoten"
218,825," Fuji TV"
218,910," Rakuonsha"
218,879," KlockWorx"
218,852," Happinet Pictures"
218,826," Studio Jack"
218,21,Lantis
219,7,VAP
219,826," Studio Jack"
220,15,Aniplex
222,15,Aniplex
222,825," Fuji TV"
223,838," Kodansha"
223,20,TBS
225,54,Shueisha
226,62,"Yomiuri Telecasting"
226,888," Shogakukan"
227,825," Fuji TV"
227,48,"Yomiko Advertising"
228,33,NHK
229,3,"Victor Entertainment"
230,14,"Bandai Visual"
230,830," Sotsu"
231,14,"Bandai Visual"
232,14,"Bandai Visual"
234,5,Genco
234,889," Cosmic Ray"
234,1444," Eye Move"
234,1082," Bushiroad"
235,11,"Group TAC"
235,890," KENMedia"
236,63,KSS
237,63,KSS
238,63,KSS
238,826," Studio Jack"
239,63,KSS
240,7,VAP
243,43,"Rondo Robe"
243,891," d-rights"
244,64,"Tohokushinsha Film Corporation"
245,63,KSS
245,864," Shueisha"
246,828," Aniplex"
246,823," Dentsu"
246,862," TV Tokyo Music"
246,1234," Studio Kelmadick"
246,864," Shueisha"
246,4,"TV Tokyo"
247,8,"Fuji TV"
247,847," Pioneer LDC"
248,870," Media Factory"
248,897," Imagica"
248,65,"Hal Film Maker"
248,939," Amber Film Works"
248,851," Imagine"
249,3,"Victor Entertainment"
250,43,"Rondo Robe"
250,847," Pioneer LDC"
250,1445," Daiei"
251,66,gimik
252,34,m.o.e.
253,20,TBS
253,847," Pioneer LDC"
254,35,"Pioneer LDC"
255,4,"TV Tokyo"
255,875," MediaNet"
255,1078," Capcom"
256,892," RCC Chugoku Broadcasting"
256,844," Toho"
256,67,"Tokyo Movie Shinsha"
256,937," Tohokushinsha Film Corporation"
257,862," TV Tokyo Music"
257,1190," Dentsu Tec"
257,867," Geneon Universal Entertainment"
257,823," Dentsu"
257,4,"TV Tokyo"
258,21,Lantis
258,893," Age"
259,15,Aniplex
261,29,"TV Asahi"
263,67,"Tokyo Movie Shinsha"
263,894," TMS-Kyokuchi"
264,68,Free-Will
265,69,d-rights
265,895," Heewon Entertainment"
266,63,KSS
267,14,"Bandai Visual"
267,896," WOWOW"
269,6,"OB Planning"
270,44,Broccoli
271,37,"Media Factory"
271,897," Imagica"
271,879," KlockWorx"
272,879," KlockWorx"
272,70,Imagica
273,14,"Bandai Visual"
273,824," Nihon Ad Systems"
273,862," TV Tokyo Music"
274,834," Kadokawa Shoten"
274,1011," Toshiba Entertainment"
274,71,Shochiku
275,14,"Bandai Visual"
275,841," Yomiko Advertising"
276,898," Bandai"
276,1057," CyberConnect2"
276,14,"Bandai Visual"
277,14,"Bandai Visual"
277,838," Kodansha"
280,14,"Bandai Visual"
281,14,"Bandai Visual"
281,915," Movic"
281,835," Sega"
281,851," Imagine"
281,831," Pony Canyon"
281,838," Kodansha"
282,72,"Dynamic Planning"
283,73,Dentsu
283,845," Starchild Records"
283,897," Imagica"
283,910," Rakuonsha"
283,848," King Records"
285,1557," Ginga Ya"
285,1454," Trilogy Future Studio"
285,14,"Bandai Visual"
285,899," Mellow Head"
285,880," Genco"
286,834," Kadokawa Shoten"
286,826," Studio Jack"
286,1279," NBCUniversal Entertainment Japan"
286,878," Audio Tanaka"
286,1690," On The Run"
286,21,Lantis
288,16,"Mainichi Broadcasting System"
289,67,"Tokyo Movie Shinsha"
291,14,"Bandai Visual"
291,900," Tokyo Movie Shinsha"
291,915," Movic"
292,901," Film Workshop"
292,74,"Polygram Japan"
293,57,"Pink Pineapple"
293,902," Critical Mass Video"
295,847," Pioneer LDC"
295,889," Cosmic Ray"
295,39,"Geneon Universal Entertainment"
296,63,KSS
296,903," Soft Garage"
297,904," BEAM Entertainment"
297,55,"Green Bunny"
298,10,GDH
298,870," Media Factory"
298,976," Nippon Columbia"
299,825," Fuji TV"
299,15,Aniplex
300,75,WOWOW
300,905," Asmik Ace"
300,937," Tohokushinsha Film Corporation"
301,64,"Tohokushinsha Film Corporation"
302,4,"TV Tokyo"
302,906," Marvelous"
302,826," Studio Jack"
303,833," TBS"
303,76,"Trans Arts"
305,77,"animate Film"
305,907," Kids Station"
305,847," Pioneer LDC"
306,908," NHK"
306,14,"Bandai Visual"
307,14,"Bandai Visual"
307,850," Lantis"
308,909," Asahi Broadcasting"
308,73,Dentsu
309,4,"TV Tokyo"
309,830," Sotsu"
311,78,"Asahi Broadcasting"
312,4,"TV Tokyo"
312,910," Rakuonsha"
313,43,"Rondo Robe"
314,25,"Starchild Records"
314,869," GANSIS"
315,79,"Nippon Television Network"
316,4,"TV Tokyo"
316,867," Geneon Universal Entertainment"
316,880," Genco"
316,847," Pioneer LDC"
316,862," TV Tokyo Music"
316,923," Fujipacific Music"
317,870," Media Factory"
317,4,"TV Tokyo"
317,830," Sotsu"
317,906," Marvelous"
318,828," Aniplex"
318,830," Sotsu"
318,839," SME Visual Works"
318,4,"TV Tokyo"
319,39,"Geneon Universal Entertainment"
321,33,NHK
322,30,"Pony Canyon"
322,833," TBS"
322,1011," Toshiba Entertainment"
322,1558," Fuji Creative"
324,15,Aniplex
324,896," WOWOW"
325,880," Genco"
325,845," Starchild Records"
325,65,"Hal Film Maker"
327,78,"Asahi Broadcasting"
328,78,"Asahi Broadcasting"
329,78,"Asahi Broadcasting"
330,78,"Asahi Broadcasting"
331,34,m.o.e.
332,39,"Geneon Universal Entertainment"
332,889," Cosmic Ray"
332,913," Showgate"
332,911," ASCII Media Works"
332,1011," Toshiba Entertainment"
333,912," Frontier Works"
333,833," TBS"
333,39,"Geneon Universal Entertainment"
333,879," KlockWorx"
333,1174," Notes"
334,913," Showgate"
334,39,"Geneon Universal Entertainment"
335,52,"Happinet Pictures"
336,15,Aniplex
336,839," SME Visual Works"
337,826," Studio Jack"
337,1037," Amuse"
337,1436," Hakuhodo"
337,1628," Mitsubishi"
337,1691," Panasonic Digital Contents"
337,80,Rakuonsha
338,81,"E&G Films"
339,82,"Picture Magic"
339,914," Rikuentai"
341,828," Aniplex"
341,4,"TV Tokyo"
343,14,"Bandai Visual"
344,32,"Nihon Ad Systems"
345,83,Active
346,7,VAP
346,891," d-rights"
347,41,AIC
348,14,"Bandai Visual"
348,858," Shochiku"
348,1446," Shelty"
349,858," Shochiku"
349,838," Kodansha"
349,14,"Bandai Visual"
349,1446," Shelty"
349,939," Amber Film Works"
350,915," Movic"
350,25,"Starchild Records"
351,13,Movic
352,13,Movic
353,7,VAP
354,14,"Bandai Visual"
354,880," Genco"
355,880," Genco"
355,14,"Bandai Visual"
356,3,"Victor Entertainment"
357,14,"Bandai Visual"
357,915," Movic"
359,84,"Half H.P Studio"
360,14,"Bandai Visual"
360,916," Broccoli"
360,826," Studio Jack"
361,8,"Fuji TV"
362,85,"Kansai Telecasting"
363,78,"Asahi Broadcasting"
364,22,"Kadokawa Shoten"
364,825," Fuji TV"
364,885," Studio Tulip"
365,830," Sotsu"
365,906," Marvelous"
365,1123," Delfi Sound"
365,4,"TV Tokyo"
366,86,Showgate
367,12,Marvelous
367,845," Starchild Records"
367,826," Studio Jack"
368,912," Frontier Works"
368,39,"Geneon Universal Entertainment"
369,48,"Yomiko Advertising"
369,825," Fuji TV"
370,28,"Atelier Musa"
371,39,"Geneon Universal Entertainment"
371,832," Rondo Robe"
371,915," Movic"
371,889," Cosmic Ray"
372,8,"Fuji TV"
373,14,"Bandai Visual"
373,896," WOWOW"
374,896," WOWOW"
374,14,"Bandai Visual"
375,14,"Bandai Visual"
376,14,"Bandai Visual"
376,896," WOWOW"
377,861," Victor Entertainment"
377,27,Sotsu
378,87,"SME Visual Works"
380,34,m.o.e.
381,54,Shueisha
382,15,Aniplex
382,917," Sony Interactive Entertainment"
384,838," Kodansha"
384,11,"Group TAC"
385,18,"Sony Pictures Entertainment"
385,918," Square Enix"
386,88,"Studio Tulip"
387,39,"Geneon Universal Entertainment"
387,868," Memory-Tech"
387,833," TBS"
387,934," DAX Production"
388,848," King Records"
388,1447," Design Factory"
388,89,"Idea Factory"
389,46,"Tokuma Shoten"
390,46,"Tokuma Shoten"
390,871," Nippon Television Network"
391,90,"Frontier Works"
392,8,"Fuji TV"
393,25,"Starchild Records"
394,20,TBS
394,919," Nichion"
395,14,"Bandai Visual"
396,14,"Bandai Visual"
397,14,"Bandai Visual"
398,91,"Studio Nue"
399,13,Movic
399,920," Tokuma Shoten"
400,92,"Square Enix"
401,4,"TV Tokyo"
401,849," Hal Film Maker"
401,1344," G&G Entertainment"
401,887," HoriPro"
401,875," MediaNet"
402,65,"Hal Film Maker"
403,65,"Hal Film Maker"
403,875," MediaNet"
404,918," Square Enix"
404,858," Shochiku"
404,860," Mainichi Broadcasting System"
404,15,Aniplex
405,69,d-rights
405,920," Tokuma Shoten"
406,14,"Bandai Visual"
408,93,"81 Produce"
409,62,"Yomiuri Telecasting"
410,94,"Rex Entertainment"
411,63,KSS
412,63,KSS
412,915," Movic"
412,840," Sony Music Entertainment"
413,878," Audio Tanaka"
413,4,"TV Tokyo"
414,95,"Audio Tanaka"
415,15,Aniplex
415,898," Bandai"
415,862," TV Tokyo Music"
415,864," Shueisha"
416,14,"Bandai Visual"
416,896," WOWOW"
416,850," Lantis"
419,907," Kids Station"
419,915," Movic"
419,77,"animate Film"
420,77,"animate Film"
420,921," Polygram Japan"
423,922," Production Reed"
423,96,"Kyoto Animation"
424,96,"Kyoto Animation"
426,97,CyberConnect2
428,98,Konami
429,45,"Avex Entertainment"
429,1123," Delfi Sound"
429,906," Marvelous"
429,886," SKY Perfect Well Think"
430,826," Studio Jack"
430,57,"Pink Pineapple"
432,99,"Fujipacific Music"
432,864," Shueisha"
433,99,"Fujipacific Music"
434,99,"Fujipacific Music"
436,8,"Fuji TV"
436,923," Fujipacific Music"
437,864," Shueisha"
437,99,"Fujipacific Music"
439,14,"Bandai Visual"
439,823," Dentsu"
439,861," Victor Entertainment"
439,874," Animax"
439,838," Kodansha"
439,1454," Trilogy Future Studio"
439,920," Tokuma Shoten"
439,871," Nippon Television Network"
440,891," d-rights"
440,920," Tokuma Shoten"
440,871," Nippon Television Network"
440,14,"Bandai Visual"
440,823," Dentsu"
440,838," Kodansha"
441,912," Frontier Works"
441,834," Kadokawa Shoten"
441,960," Half H.P Studio"
441,75,WOWOW
444,63,KSS
445,14,"Bandai Visual"
445,865," TV Asahi"
445,850," Lantis"
446,91,"Studio Nue"
448,15,Aniplex
449,4,"TV Tokyo"
449,858," Shochiku"
449,1407," Mag Garden"
450,898," Bandai"
450,937," Tohokushinsha Film Corporation"
450,37,"Media Factory"
451,56,"Shogakukan-Shueisha Productions"
451,924," Funimation"
451,1448," Studio Izena"
451,885," Studio Tulip"
451,862," TV Tokyo Music"
452,32,"Nihon Ad Systems"
453,4,"TV Tokyo"
453,836," Toei Animation"
453,824," Nihon Ad Systems"
454,870," Media Factory"
454,861," Victor Entertainment"
454,29,"TV Asahi"
456,100,"SKY Perfect Well Think"
456,907," Kids Station"
456,1126," Takeshobo"
457,880," Genco"
457,831," Pony Canyon"
457,1559," Studio Wombat"
457,962," chara-ani.com"
457,911," ASCII Media Works"
457,75,WOWOW
458,75,WOWOW
458,850," Lantis"
458,834," Kadokawa Shoten"
458,910," Rakuonsha"
458,879," KlockWorx"
458,852," Happinet Pictures"
458,826," Studio Jack"
459,20,TBS
459,915," Movic"
460,15,Aniplex
461,92,"Square Enix"
461,845," Starchild Records"
461,869," GANSIS"
462,35,"Pioneer LDC"
463,35,"Pioneer LDC"
464,27,Sotsu
464,915," Movic"
464,862," TV Tokyo Music"
465,925," AnimEigo"
465,22,"Kadokawa Shoten"
467,101,Network
468,102,"Japan Home Video"
471,103,"Studio Matrix"
471,926," Japan Home Video"
472,824," Nihon Ad Systems"
472,825," Fuji TV"
472,71,Shochiku
473,4,"TV Tokyo"
473,927," Diomed̩a"
473,824," Nihon Ad Systems"
474,104,"Studio Jack"
475,15,Aniplex
475,928," animate Film"
475,915," Movic"
476,827," Shogakukan-Shueisha Productions"
476,960," Half H.P Studio"
476,4,"TV Tokyo"
477,35,"Pioneer LDC"
477,929," Toshiba Digital Frontiers"
478,105,"Soft Garage"
479,82,"Picture Magic"
481,46,"Tokuma Shoten"
482,15,Aniplex
482,930," Studio Hibari"
483,861," Victor Entertainment"
483,22,"Kadokawa Shoten"
484,4,"TV Tokyo"
484,824," Nihon Ad Systems"
484,910," Rakuonsha"
485,104,"Studio Jack"
487,25,"Starchild Records"
487,862," TV Tokyo Music"
489,106,"Synergy Japan"
490,14,"Bandai Visual"
490,897," Imagica"
490,1041," Tezuka Productions"
490,844," Toho"
490,848," King Records"
490,823," Dentsu"
490,834," Kadokawa Shoten"
491,38,"Studio Fantasia"
492,14,"Bandai Visual"
492,896," WOWOW"
492,850," Lantis"
493,871," Nippon Television Network"
493,7,VAP
494,3,"Victor Entertainment"
494,837," Hakusensha"
495,862," TV Tokyo Music"
495,826," Studio Jack"
495,4,"TV Tokyo"
496,4,"TV Tokyo"
496,827," Shogakukan-Shueisha Productions"
496,897," Imagica"
496,826," Studio Jack"
497,40,"Toei Video"
497,846," Toshiba EMI"
497,937," Tohokushinsha Film Corporation"
498,29,"TV Asahi"
500,29,"TV Asahi"
502,107,J.C.Staff
502,862," TV Tokyo Music"
502,877," TV Tokyo"
502,963," SoftX"
503,877," TV Tokyo"
503,963," SoftX"
503,107,J.C.Staff
504,22,"Kadokawa Shoten"
504,931," Marubeni"
505,840," Sony Music Entertainment"
505,108,"Four Some"
506,35,"Pioneer LDC"
507,35,"Pioneer LDC"
508,35,"Pioneer LDC"
509,7,VAP
510,77,"animate Film"
510,915," Movic"
511,932," Gakken"
511,898," Bandai"
511,71,Shochiku
513,90,"Frontier Works"
513,832," Rondo Robe"
514,63,KSS
515,109,"Tin House"
516,32,"Nihon Ad Systems"
518,48,"Yomiko Advertising"
518,825," Fuji TV"
519,915," Movic"
519,25,"Starchild Records"
520,30,"Pony Canyon"
521,34,m.o.e.
521,831," Pony Canyon"
522,831," Pony Canyon"
522,34,m.o.e.
523,30,"Pony Canyon"
524,33,NHK
525,110,Bandai
526,25,"Starchild Records"
527,20,TBS
527,835," Sega"
527,851," Imagine"
528,835," Sega"
528,851," Imagine"
528,30,"Pony Canyon"
529,25,"Starchild Records"
529,915," Movic"
529,871," Nippon Television Network"
530,3,"Victor Entertainment"
531,111,"Culture Publishers"
532,14,"Bandai Visual"
533,14,"Bandai Visual"
534,3,"Victor Entertainment"
535,7,VAP
535,933," Big West"
535,848," King Records"
535,1560," Media Rings"
535,1053," TV Setouchi"
537,35,"Pioneer LDC"
539,4,"TV Tokyo"
539,830," Sotsu"
539,822," Bandai Visual"
539,849," Hal Film Maker"
540,856," Atelier Musa"
540,1099," Bandai Channel"
540,14,"Bandai Visual"
541,21,Lantis
541,934," DAX Production"
542,23,"Mellow Head"
545,112,San-X
546,14,"Bandai Visual"
547,113,Madhouse
547,822," Bandai Visual"
547,833," TBS"
548,870," Media Factory"
548,914," Rikuentai"
548,21,Lantis
548,1011," Toshiba Entertainment"
548,1099," Bandai Channel"
549,46,"Tokuma Shoten"
550,73,Dentsu
550,886," SKY Perfect Well Think"
550,825," Fuji TV"
550,905," Asmik Ace"
